BN,ventBN,BS,IEnd,I:E ratio,iTime,eTime,inst_RR,TVi,TVe,TVe:TVi ratio,maxF,minF,maxP,PIP,Maw,PEEP,ipAUC,epAUC, ,BS,x01,TVi1,TVe1,x02,TVi2,TVe2,minF_to_zero
24,8271,89.48,90.38,0.29605263157894735,0.9,3.04,15.228426395939087,398.83777777777777,401.38222222222214,1.0063796475314384,44.08,-40.89,16.96,16.96,13.614222222222226,5.4639999999999995,12.052533333333333,18.415733333333336, ,89.48,2015-06-15 01:28:03.248313000,398.83777777777777,401.38222222222214,2015-06-15 01:28:03.248313000,398.83777777777777,401.38222222222214,14.144827586206898
25,8272,93.42,94.34,0.3066666666666667,0.92,3.0,15.306122448979592,401.76000000000005,395.34777777777776,0.98403966989689795,45.36,-39.27,18.11,18.11,13.697173913043471,5.516,12.3987,18.073533333333334, ,93.42,2015-06-15 01:28:07.875290000,401.76000000000005,395.34777777777776,2015-06-15 01:28:07.875290000,401.76000000000005,395.34777777777776,13.315068493150687
26,8273,97.34,98.28,0.3333333333333333,0.9400000000000001,2.8200000000000003,15.957446808510637,413.04666666666668,406.24250000000001,0.98352688154687928,44.14,-41.31,17.92,17.92,13.727021276595746,5.552,12.704333333333336,17.165766666666666, ,97.34,2015-06-15 01:28:12.850190000,413.04666666666668,406.24250000000001,2015-06-15 01:28:12.850190000,413.04666666666668,406.24250000000001,15.113970588235293
27,8274,101.1,102.08,0.31818181818181823,0.98,3.0799999999999996,14.77832512315271,418.17777777777786,417.66111111111115,0.9987644808162397,43.67,-41.87,17.28,17.28,13.806326530612242,5.318,13.335066666666668,18.63646666666667, ,101.1,2015-06-15 01:28:17.330968000,418.17777777777786,417.66111111111115,2015-06-15 01:28:17.330968000,418.17777777777786,417.66111111111115,14.832167832167832
28,8275,105.16,106.12,0.32,0.96,3.0,15.151515151515152,411.14361111111106,406.29666666666657,0.98821106709807394,43.78,-40.76,17.09,17.09,13.716458333333335,5.54,12.966049999999999,18.07753333333334, ,105.16,2015-06-15 01:28:22.024366000,411.14361111111106,406.29666666666657,2015-06-15 01:28:22.024366000,411.14361111111106,406.29666666666657,13.900684931506849
29,8276,109.12,110.04,0.3333333333333333,0.92,2.7600000000000002,16.304347826086957,409.96666666666675,394.19333333333338,0.96152532726237894,45.17,-40.74,17.71,17.71,13.666304347826088,5.5520000000000005,12.368600000000001,16.731733333333334, ,109.12,2015-06-15 01:28:26.635954000,409.96666666666675,394.19333333333338,2015-06-15 01:28:26.635954000,409.96666666666675,394.19333333333338,15.111111111111112
30,8277,112.8,113.76,0.3287671232876712,0.96,2.92,15.463917525773196,403.12361111111113,402.71555555555557,0.99898776567705661,45.91,-42.95,18.33,18.33,13.705000000000004,5.507999999999999,12.95255,17.595266666666667, ,112.8,2015-06-15 01:28:31.016656000,403.12361111111113,402.71555555555557,2015-06-15 01:28:31.016656000,403.12361111111113,402.71555555555557,15.209219858156027
31,8278,116.68,117.66,0.3576642335766423,0.98,2.74,16.129032258064516,416.7144444444445,406.04444444444442,0.97439493604733307,42.74,-38.48,18.14,18.14,13.857346938775512,5.508,13.3856,16.611333333333338, ,116.68,2015-06-15 01:28:35.700757000,416.7144444444445,406.04444444444442,2015-06-15 01:28:35.700757000,416.7144444444445,406.04444444444442,14.300751879699247
32,8279,120.4,121.34,0.31333333333333335,0.9400000000000001,3.0,15.228426395939087,407.96222222222229,408.48999999999995,1.0012936927711169,42.48,-43.0,18.58,18.58,13.851914893617023,5.5760000000000005,12.805399999999999,18.115133333333336, ,120.4,2015-06-15 01:28:40.293670000,407.96222222222229,408.48999999999995,2015-06-15 01:28:40.293670000,407.96222222222229,408.48999999999995,14.697278911564627
33,8280,124.34,125.3,0.32,0.96,3.0,15.151515151515152,406.61638888888888,416.16111111111115,1.0234735305389533,44.06,-40.99,17.15,17.15,13.720625000000004,5.518,12.964799999999999,18.239600000000003, ,124.34,2015-06-15 01:28:44.957101000,406.61638888888888,416.16111111111115,2015-06-15 01:28:44.957101000,406.61638888888888,416.16111111111115,14.075862068965519
34,8281,128.3,129.26,0.31788079470198677,0.96,3.02,15.075376884422111,392.21500000000003,399.3463888888889,1.0181823461338522,43.24,-40.31,18.08,18.08,13.6625,5.526000000000001,12.909933333333333,18.236716666666666, ,128.3,2015-06-15 01:28:49.583938000,392.21500000000003,399.3463888888889,2015-06-15 01:28:49.583938000,392.21500000000003,399.3463888888889,13.619047619047619
35,8282,132.28,133.2,0.35384615384615387,0.92,2.6,17.045454545454547,393.49805555555554,378.98111111111109,0.96310796396706744,44.95,-40.14,20.03,20.03,13.812173913043477,5.582000000000001,12.503116666666667,15.761133333333333, ,132.28,2015-06-15 01:28:54.224331000,393.49805555555554,378.98111111111109,2015-06-15 01:28:54.224331000,393.49805555555554,378.98111111111109,15.779527559055117
36,8283,135.8,136.76,0.30573248407643316,0.96,3.1399999999999997,14.634146341463415,388.27805555555562,401.21361111111111,1.0333151857810945,41.48,-42.43,18.77,18.77,13.674791666666666,5.368,12.922133333333333,18.960783333333335, ,135.8,2015-06-15 01:28:58.428011000,388.27805555555562,401.21361111111111,2015-06-15 01:28:58.428011000,388.27805555555562,401.21361111111111,14.352348993288592
37,8284,139.9,140.82,0.3172413793103448,0.92,2.9000000000000004,15.706806282722512,394.58805555555557,390.87333333333328,0.99058582192258149,44.85,-39.24,19.26,19.26,13.730869565217391,5.45,12.430300000000001,17.568333333333335, ,139.9,2015-06-15 01:29:03.545718000,394.58805555555557,390.87333333333328,2015-06-15 01:29:03.545718000,394.58805555555557,390.87333333333328,13.989208633093524
38,8285,143.72,144.66,0.28834355828220865,0.9400000000000001,3.2599999999999993,14.285714285714288,401.57444444444457,398.13583333333332,0.99143717644715079,43.79,-39.98,18.34,18.34,13.692553191489363,5.537999999999999,12.656600000000001,19.5712, ,143.72,2015-06-15 01:29:08.049347000,401.57444444444457,398.13583333333332,2015-06-15 01:29:08.049347000,401.57444444444457,398.13583333333332,12.81730769230769
39,8286,147.92,148.9,0.3202614379084967,0.98,3.06,14.851485148514852,403.71777777777783,400.91750000000008,0.993063773923478,40.06,-41.2,18.09,18.09,13.727142857142855,5.442,13.242333333333335,18.514366666666668, ,147.92,2015-06-15 01:29:12.961830000,403.71777777777783,400.91750000000008,2015-06-15 01:29:12.961830000,403.71777777777783,400.91750000000008,14.100000000000001
40,8287,151.96,152.9,0.3357142857142857,0.9400000000000001,2.8000000000000003,16.0427807486631,400.00888888888881,399.61666666666673,0.99901946623408411,44.82,-40.95,18.84,18.84,13.727872340425527,5.402,12.701933333333336,17.01506666666667, ,151.96,2015-06-15 01:29:17.642607000,400.00888888888881,399.61666666666673,2015-06-15 01:29:17.642607000,400.00888888888881,399.61666666666673,15.16044776119403
41,8288,155.7,156.64,0.29936305732484075,0.9400000000000001,3.14,14.705882352941176,397.39888888888891,401.95666666666676,1.0114690249651206,41.39,-40.75,18.47,18.47,13.753829787234045,5.506,12.721333333333334,18.90255, ,155.7,2015-06-15 01:29:22.325642000,397.39888888888891,401.95666666666676,2015-06-15 01:29:22.325642000,397.39888888888891,401.95666666666676,13.332236842105262
42,8289,159.78,160.8,0.38345864661654133,1.02,2.66,16.304347826086957,417.46666666666664,410.72166666666664,0.98384302139891411,40.78,-44.3,18.49,18.49,13.964313725490195,5.508,14.052466666666668,16.343666666666667, ,159.78,2015-06-15 01:29:27.327823000,417.46666666666664,410.72166666666664,2015-06-15 01:29:27.327823000,417.46666666666664,410.72166666666664,17.527131782945734
43,8290,163.46,164.36,0.29605263157894735,0.9,3.04,15.228426395939087,395.48666666666662,393.1711111111112,0.99414504773303247,45.23,-41.86,18.66,18.66,13.666222222222228,5.534,12.087333333333335,18.23706666666667, ,163.46,2015-06-15 01:29:31.517834000,395.48666666666662,393.1711111111112,2015-06-15 01:29:31.517834000,395.48666666666662,393.1711111111112,14.037162162162161
44,8291,167.4,168.38,0.3402777777777778,0.98,2.88,15.544041450777202,417.28777777777776,403.6677777777777,0.96736065438453067,42.5,-42.06,17.08,17.08,13.716938775510204,5.524000000000001,13.238200000000001,17.525466666666663, ,167.4,2015-06-15 01:29:36.231382000,417.28777777777776,403.6677777777777,2015-06-15 01:29:36.231382000,417.28777777777776,403.6677777777777,15.097122302158272
